Identifiant;Geo Point;Marque;Nom
93380005;48.96577,2.36368;Elf;ELF RELAIS PICARDIE
93440003;48.9517,2.41673;Total;Relais Pont Yblon
93800003;48.9596,2.30375;Esso Express;ESSO MARECHAUX
94110004;48.80101,2.34031;Esso Express;ESSO ARCUEIL
95360001;48.96227,2.3384;Intermarché;INTERMARCHE MONTMAGNY
92140013;48.79355,2.25241;Total Access;Relais trebignaud 2
92210006;48.84458,2.21049;BP;BP ST CLOUD REPUBLIQUE 8 à Huit
93100009;48.86879,2.47046;Total Access;MONTREUIL SUEUR
93240006;48.95763,2.38253;Total Access;RELAIS MARCEL CACHIN
93460003;48.8669409467,2.57131935079;Total;Relais Total de gournay
94700007;48.8069477421,2.43827166369;Avia;STATION AVIA
94120007;48.85276,2.48589;BP;BP FONTENAY SOUS BOIS VAL DE FONTENAY
94370006;48.77333,2.51743;BP;BP SUCY EN BRIE
94460001;48.74926,2.45465;Carrefour Market;Carrefour Market
94600001;48.77084,2.4091;Total;RELAIS DU LUGO
95240003;48.97119,2.19238;Esso;ESSO CORMEILLES EN PARISIS
95430001;49.08025,2.19575;Total;SARL GARAGE BOIREAU & FILS
95440001;49.02675,2.36867;Système U;SCS DISECO
95400006;48.99903,2.39372;Leader Price;SODIBEL
30700002;44.00874,4.41857;Total Access;RELAIS TOTAL ACCESS  D'UZES
17000007;46.17075,-1.20379;Avia;PICOTY SA LA PALLICE
29120001;47.88615,-4.17014;Système U;Super U COMBRIT
29170004;47.8978368756,-4.01737;Total;GARAGE MERRIEN
28290001;48.1046060281,1.11947715307;Carrefour Contact;Carrefour contact
27310005;49.35601,0.81528;Intermarché;INTERMARCHE BOURG ACHARD
27260001;49.27861,0.43832;Total;SARL GGE DUFOUR
10000017;;Total Access;RELAIS DE MAISONNEUVE
12110004;44.56086,2.23115;Total;Causse automobile
43320001;45.11367,3.69845;Total;MR VIGOUROUX
40410003;44.3613728923,-0.850806631003;Avia;PORTE DES LANDES EST
40460001;44.48092,-1.079;Intermarché;INTERMARCHE SANGUINET
38490005;45.59226,5.60856;Intermarché;SAS CYRQUEN
5000016;44.54104,6.05755;Total;RELAIS DE CHARANCE
5600004;44.6517561082,6.58731625176;Intermarché;INTERMARCHE
34130002;43.64045,3.96441;Leclerc;S.A.S HYPER SAINT AUNES
38150004;45.39307,4.80729;Total;RELAIS DU ROUSSILLON
13160001;43.8872962634,4.83369694059;Indépendant sans enseigne;GAROUCHA
13160002;43.8876,4.84901;Intermarché;INTERMARCHE CHATEAURENARD
12100001;44.11714,3.06997;Géant;GEANT  CASINO
16210001;45.27271,0.04229;Intermarché;INTERMARCHE CHALAIS
17100003;45.7405840944,-0.6251415584;Total Access;RELAIS PALUE
21910001;47.1952928603,5.08275103634;Atac;SCHIEVER CARBURANTS
1100006;46.26209,5.64771;Intermarché;DB OYONNAX
6110001;43.5660341322,6.96524;Total Access;RELAIS LE CANNET LA FRAYERE
13112005;43.3836154648,5.60248970618;Avia;S2F
13200009;43.6675119789,4.63468013303;Intermarché;INTERMARCHE ARLES
13127004;43.42063,5.26826;Total;RELAIS DE L'ANJOLY
17800001;45.6088,-0.59708;BP;BP A10 AIRE CHARENTES EST
17700002;46.10877,-0.75412;Total;MME PETIT
17270001;45.2121397979,-0.177197722832;Intermarché;INTERMARCHE MONTGUYON
17250003;45.81396,-0.77424;Intermarché Contact;INTERMARCHE
18220001;47.1872241308,2.45523605914;Carrefour Market;Carrefour Market
18000011;47.06484,2.39817;Simply Market;SIMPLY MARKET
22800001;48.40775,-2.91207;Carrefour Market;Carrefour Market
25290001;47.1096702257,6.1262892972;Atac;ATAC ORNANS
30240001;43.5217,4.1389;Système U;SUPER U
34230002;43.5347764402,3.45325;Carrefour Contact;carrefour contact
10140001;48.2368345699,4.46723072067;Atac;ATAC VENDEUVRE SUR BARSE
12100004;44.09065,3.07745;Carrefour Market;CARREFOUR MARKET
20220005;42.6084518006,8.87356647611;Total;TOTAL
31200008;43.63962,1.42942;Esso Express;ESSO DU MARCHE
33700007;44.88728,-0.5735;Total Access;RELAIS DE GIRONDE
34070011;43.59227,3.85855;Oil France;I.S. INDUSTRIES SERVICES
34260001;43.65678,3.1508;Ecomarché;ECOMARCHE
33000008;44.83481,-0.5989;Esso Express;ESSO ANTOINE GAUTIER
33000006;44.82532,-0.54646;Esso Express;ESSO BRIENNE 2
42410002;45.4269468192,4.74170033752;Leclerc;LECLERC CHAVANAY
42270004;45.47872,4.35751;Casino;CASINO CARBURANT
38100003;45.17108,5.72398;BP;BP GRENOBLE BELLEDONNE
40110002;44.03135329,-0.909827615645;Ecomarché;ECOMARCHE SAS MINORK
40300002;43.54698,-1.11325;Total;EOR PEYREHORADE MARTINE
2400002;49.03422,3.37869;Total;SAE DU GGE BACHELET
11200007;43.2654425246,2.71760981337;Système U;STATION LACANS
11100004;43.1807912054,2.96288855258;Dyneff;STATION DYNEFF
10600007;48.33707,4.0328;Total;TOTAL ACCES BARBEREY
13100002;43.5320056086,5.43734451063;Total Access;RELAIS DES THERMES
38407001;45.1860563257,5.76022665476;Géant;GEANT CASINO
10120002;48.2731,4.05614;Total;EOR ST ANDRE L V STAR
11500002;42.87345,2.17784;Total;SAS GARAGE ROOSLI
12300003;44.56198,2.24887;Esso Express;ESSO GAMBETTA 12
12260003;44.43606,2.02965;Système U;U EXPRESS
3310001;46.28425,2.66764;Total;Néris Les Bains
6340001;43.75719,7.3205;Indépendant sans enseigne;GARAGE DE LA VALLEE - BARNOIN
6600014;43.57697,7.10711;Casino;CASINO SUPERMARCHE
8150001;49.8395315331,4.54457102246;Carrefour Contact;Carrefour contact
1210003;46.2437007853,6.09266166369;Leclerc;CENTRE E.LECLERC
13014011;43.32936,5.37576;Indépendant sans enseigne;station maison blanche
13320010;43.4420737956,5.39760892793;Système U;SUPER U
14320002;49.0843148392,-0.377491014481;Indépendant sans enseigne;STATION ESSO / GARAGE VAUQUELIN
16350001;45.989314401,0.4073764324;Carrefour Contact;CARREFOUR CONTACT
17300002;45.94795,-0.9761;Esso Express;ESSO BOIS BERNARD
25110001;47.3516,6.35766;Total;GARAGE DROZ SARL
35350002;48.60478,-1.89883;Ecomarché;ECOMARCHE
34700004;43.6914515079,3.35073121289;Intermarché;SAS PRAZAC  INTERMARCHE
34500006;43.3583637397,3.24336730396;Agip;AGIP BEZIERS PEZENAS
8190003;49.47064,4.12341;Carrefour Contact;CARREFOUR CONTACT
13420001;43.2788936541,5.61507156638;Avia;Eurl SVF Station service de gemenos Avia
14400007;49.27408,-0.68537;Intermarché;INTERMARCHE SAINT VIGOR LE GRAND
13700003;43.4436126889,5.22474651184;Total;RELAIS DE BOLMON
18220002;47.20229,2.58174;Intermarché;INTERMARCHE LES AIX D'ANGILLON
18000002;47.0913077436,2.42146667262;Carrefour;CARREFOUR BOURGES
17360001;45.1590658928,-0.0185741989438;Système U;U Express Coop Atlantique St Aigulin
17640001;45.6366,-1.06304;Système U;U Express VAUX SUR MER
18300004;47.30227,2.79561;Elan;GARAGE CROUZET RAC CITROEN
19100011;45.16671,1.5459;Leclerc;NODISCO E.LECLERC
18330001;47.31545,2.25574;Avia;GARAGE AMICHAUD
19130002;45.25872,1.41329;Carrefour Market;Carrefour Market
20218008;42.46274,9.20667;VITO;Sarl BRULE
20240005;42.01703,9.40606;BP;STATION BP BIANCARELLI
34500012;43.33779,3.21263;Dyneff;DYNEFF
1700003;45.87147,4.91241;Esso Express;ESSO LES ECHETS
2100009;49.8427712715,3.32330018663;Leclerc;CONTOYDIS
2200007;49.38639,3.33331;Esso Express;ESSO SOISSONS
3800004;46.0996300266,3.21174619218;Total;Relais Lagarde Gannat MENDES FRANCE
24200004;44.8759149895,1.21871332738;Avia;SARL BMVO DISTRBUTION
27940003;49.16767,1.3368;Intermarché;INTERMARCHE AUBEVOYE
28100003;48.7480577926,1.34353933293;CORA;CORA DREUX
27350001;49.3786523137,0.731592864799;Carrefour Contact;Carrefour Contact
29000006;48.01593,-4.08164;Leclerc;LECLERC QUIMPER (KERVILLY) - 150 route de Brest 29000 QUIMPER
29200014;48.40125,-4.4464;Intermarché;INTERMARCHE LE VALLON
33370007;44.8252023373,-0.443776174313;Système U;SUPER U SAS FARDIS
33260006;44.6166223914,-1.13458321221;Dyneff;LISA SARL
33520005;44.87122,-0.61386;Esso Express;ESSO EXPRESS BRUGES VIGEAN
22200001;48.55962,-3.14765;Total;RELAIS ST NICOLAS
22000003;48.49806,-2.74533;Total;MR GUESDON
8200009;49.69926,4.92701;Total Access;Relais total access sedan marne
13310003;47.1433079286,1.84479218974;Shopi;SHOPI
13550001;43.87688,4.90072;Total;STATION TOTAL M. HACHIMI PATRICK
13770001;43.5944,5.48246;BP;BP VENELLES LES CABASSOLS
38210003;45.29302,5.5105;BP;STATION DE LA PLAINE
38330001;45.244,5.86238;Shell;EURL HARAN CHRISTOPHE
38430002;45.32673,5.57551;Esso Express;ESSO MOIRANS
38470002;45.20809,5.41232;Système U;SUPER U
3100002;46.3431429008,2.59175308716;Total;Relais Lagarde Montluçon
39190004;46.59807,5.45907;Indépendant sans enseigne;JANET
