Identifiant;Marque;Nom;Latitude;Longitude
33760001;Indépendant sans enseigne;GARINEAU ORTEGA;44.7345664664;-0.259502846935
21800001;Carrefour Market;Carrefour Market;47.30243;5.12641
26290003;Esso Express;ESSO DONZERE;44.42036;4.71156
26400003;Casino;CASINO SUPERMARCHE;44.73518;5.00715
25800001;Système U;SA ANACO;47.15022;6.33675
31170004;KAI;STATION KAI TOURNEFEUILLE;43.5777352009;1.32671523129
31310002;Shopi;CARREFOUR CONTACT;43.20107;1.22653
33400005;Intermarché;INTERMARCHE TALENCE;44.79521;-0.56783
33000009;Total;Relais du trinquet;44.8365903517;-0.598800240222
33138001;Intermarché;SARL GPS;44.70331;-1.03713
33520002;Esso;ESSO AQUITAINE 2;44.8876517532;-0.579371095821
34120004;Avia;STATION AVIA;43.46253;3.42506
32120002;Système U;SARL GASCODIS;43.73111;0.88063
41000006;Esso;ESSO BLOIS MENARS;47.66553;1.38891
40310001;Système U;U express;43.98646;0.00999000000001
40600003;Elan;LEVEQUE ET FILS;44.44133;-1.24174
12850003;Indépendant sans enseigne;L'OUSTAL NAU STATION-MONTEILLET;44.369760875;2.59082353187
14400004;Esso Express;ESSO MONTGOMERY;49.27096;-0.69362
35770005;Total Access;total access vern sur seiche;48.0518;-1.60803
36000001;Auchan;AUCHAN CHATEAUROUX;46.80612;1.69604
36400004;Intermarché;INTERMARCHE LA CHATRE;46.57396;1.97654
40160001;Système U;SUPER U;44.34909;-1.06754
40600001;Total;STATION REPUBLIQ;44.39809;-1.16594
33260011;Leclerc;E.LECLERC LA TESTE DE BUCH;44.61775;-1.12338
31400002;Avia;STATION AVIA;43.5750120169;1.48972428827
35590004;Shell;Aire d'Armor et d'Argoat;48.1609380975;-1.84566333536
34810001;Système U;SUPER U;43.39147;3.4891
34320002;Indépendant sans enseigne;STATION SERVICE RAMOND;43.5020565728;3.31735133414
34320003;Système U;SUPER U;43.5023765948;3.3166765833
34740001;Total;EOR VENDARGUES BAUDRAN;43.65381;3.96648
34770002;Esso Express;ESSO LITTORAL;43.59481;3.88836
26740002;Agip;AGIP MONTBOUCHER;44.5476696176;4.80187147706
43500004;Indépendant sans enseigne;Station communale;45.35509;3.95105
42500006;Agip;AGIP CHAMBON NORD RN 88 SENS ST ETIENNE -LE PUY;45.39301;4.32631
44000004;Total Access;RELAIS DE BOUGUENAIS;47.1855005176;-1.60159114752
44240006;Total Access;Relais  Access La Jonelière;47.25706;-1.54484
44370002;Total;ARGEDIS TOTAL VARADES LA BEDOIRE;47.4183939991;-1.01780217986
44370006;Indépendant sans enseigne;SARL GARAGE PEU;47.38652;-1.02574
38760001;Agip;AGIP VARCES CHAMP ST ANGE;45.0942691618;5.68370116538
39800003;Colruyt;STATION DATS;46.84883;5.69653
39800002;BP;BP POLIGNY;46.84229;5.70519
44190002;Total;CLISSON AUTOS S.A.S;47.09763;-1.29618
